Gene stable ID	Gene name
ENSG00000004939	SLC4A1
ENSG00000007312	CD79B
ENSG00000019582	CD74
ENSG00000026025	VIM
ENSG00000089157	RPLP0
ENSG00000101439	CST3
ENSG00000104765	BNIP3L
ENSG00000105374	NKG7
ENSG00000111640	GAPDH
ENSG00000112306	RPS12
ENSG00000113140	SPARC
ENSG00000122862	SRGN
ENSG00000123416	TUBA1B
ENSG00000135390	ATP5MC2
ENSG00000137210	TMEM14B
ENSG00000143198	MGST3
ENSG00000143947	RPS27A
ENSG00000145287	PLAC8
ENSG00000147454	SLC25A37
ENSG00000152492	CCDC50
ENSG00000161016	RPL8
ENSG00000164104	HMGB2
ENSG00000167244	IGF2
ENSG00000167815	PRDX2
ENSG00000184009	ACTG1
ENSG00000185885	IFITM1
ENSG00000188536	HBA2
ENSG00000196565	HBG2
ENSG00000197061	H4C3
ENSG00000198804	MT-CO1
ENSG00000198938	MT-CO3
ENSG00000213934	HBG1
ENSG00000235588	AIF1
ENSG00000244734	HBB
ENSG00000284931	
